run_id,score0,score1,score2,score3,score4,score5,score6,score7,score8,score9,universal_score
177,-193.01,-182.92,-175.68,-174.50,-167.39,-167.38,-165.72,-163.16,-162.17,-159.83,-176.01981818181815
410,-257.02,-252.60,-235.85,-233.23,-224.24,-223.66,-219.96,-218.71,-214.43,-205.44,-236.30945454545454
261,-200.16,-196.20,-192.35,-187.49,-186.87,-186.28,-185.52,-182.49,-181.59,-175.42,-190.89818181818183
376,-158.15,-146.40,-143.31,-138.77,-138.14,-135.84,-134.04,-132.34,-132.08,-131.68,-142.80054545454547
439,-265.40,-242.10,-231.99,-217.06,-207.42,-204.12,-202.92,-198.44,-198.06,-197.67,-226.8027272727273
714,-265.77,-229.35,-221.29,-217.35,-217.10,-213.09,-210.92,-210.61,-210.45,-207.58,-227.012
661,-215.71,-214.91,-192.99,-181.62,-180.83,-176.89,-175.57,-174.89,-174.85,-174.72,-193.2245454545455
734,-164.95,-160.63,-149.33,-145.19,-142.47,-142.09,-141.97,-140.99,-136.35,-135.16,-150.36581818181818
054,-202.99,-195.33,-192.99,-191.19,-189.66,-189.39,-182.17,-174.01,-171.57,-170.59,-191.26309090909092
130,-197.75,-171.96,-168.24,-163.74,-163.23,-161.49,-160.37,-158.81,-154.15,-153.31,-170.61072727272727
078,-124.29,-124.06,-119.88,-117.39,-117.17,-117.08,-114.84,-112.41,-112.22,-110.24,-119.27090909090907
388,-174.13,-173.90,-161.40,-150.12,-146.44,-146.17,-141.10,-139.83,-134.42,-133.73,-157.17072727272725
557,-189.34,-189.28,-185.94,-184.36,-184.05,-177.98,-177.89,-176.74,-176.26,-176.20,-184.35745454545457
198,-135.43,-133.54,-121.68,-119.71,-118.34,-118.11,-117.63,-117.51,-115.86,-113.18,-124.2929090909091
163,-319.22,-298.71,-294.01,-293.39,-272.78,-265.24,-262.56,-262.27,-253.80,-251.17,-288.0927272727273
693,-213.36,-201.10,-198.21,-192.80,-190.99,-186.42,-186.36,-185.22,-182.89,-182.79,-196.48163636363643
561,-200.58,-193.84,-182.44,-176.62,-176.54,-173.95,-171.57,-169.10,-168.06,-163.15,-183.05563636363635
779,-202.00,-201.86,-197.64,-191.44,-182.06,-182.00,-181.91,-181.42,-179.69,-175.66,-192.13163636363635
695,-182.84,-180.40,-172.10,-168.65,-168.19,-166.35,-166.13,-165.51,-163.35,-163.29,-172.7505454545455
194,-156.60,-156.50,-149.56,-145.81,-142.52,-141.41,-141.37,-140.64,-140.14,-139.45,-148.38090909090906
457,-194.52,-190.69,-186.96,-180.86,-180.44,-178.98,-176.48,-175.59,-172.95,-168.85,-184.51072727272728
775,-232.21,-229.21,-207.82,-206.24,-205.95,-205.50,-203.96,-203.63,-201.91,-198.20,-214.23963636363638
126,-240.91,-205.62,-199.39,-197.14,-195.85,-190.24,-190.14,-189.14,-188.45,-181.50,-204.49927272727274
706,-213.19,-205.28,-201.20,-190.68,-189.11,-182.97,-182.68,-181.08,-179.92,-174.79,-196.03418181818185
764,-136.48,-136.33,-136.26,-135.46,-134.16,-131.41,-130.50,-129.47,-129.22,-129.00,-134.36236363636363
348,-206.32,-200.26,-198.82,-194.73,-194.65,-170.66,-169.01,-165.42,-165.32,-164.79,-191.05709090909093
576,-172.62,-163.63,-161.18,-159.44,-158.43,-152.73,-150.72,-150.23,-148.60,-148.07,-160.31745454545452
